name,state,date,action,reg,CERT
1st National Bank,OH,2024-07-25,Formal Agreement,OCC,6646
42 North Private Bank,MA,2025-01-30,Cease-and-Desist Order (C&D) or Personal,OCC,27015
"Axiom Bank, National Association",FL,2024-10-03,Formal Agreement,OCC,31390
"Bank of America, National Association",NC,2024-12-23,Cease-and-Desist Order (C&D) or Personal,OCC,3510
"Bank of America, National Association",NC,2022-07-14,Cease-and-Desist Order (C&D) or Personal,OCC,3510
"Bank of Brenham, National Association",TX,2024-10-21,Cease-and-Desist Order (C&D) or Personal,OCC,3113
"Barrington Bank & Trust Company, National Association",IL,2024-02-14,Cease-and-Desist Order (C&D) or Personal,OCC,34395
Beauregard FSB,LA,2022-04-27,Cease-and-Desist Order (C&D) or Personal,OCC,30339
"Blue Ridge Bank, National Association",VA,2024-01-24,Cease-and-Desist Order (C&D) or Personal,OCC,35274
"Blue Ridge Bank, National Association",VA,2022-08-29,Formal Agreement,OCC,35274
Carver Federal Savings Bank,NY,2025-05-14,Formal Agreement,OCC,30394
"Citibank, N.A.",SD,2024-07-10,Cease-and-Desist Order (C&D) or Personal,OCC,7213
"Citizens Bank, National Association",RI,2025-01-29,Cease-and-Desist Order (C&D) or Personal,OCC,57957
"Citizens Bank, National Association",RI,2024-12-20,Cease-and-Desist Order (C&D) or Personal,OCC,57957
City National Bank,CA,2024-01-31,Cease-and-Desist Order (C&D) or Personal,OCC,17281
"Clear Fork Bank, National Association",TX,2024-10-08,Cease-and-Desist Order (C&D) or Personal,OCC,3067
Commonwealth National Bank,AL,2022-01-31,Formal Agreement,OCC,22229
Community Federal Savings Bank,NY,2026-04-24,Cease-and-Desist Order (C&D) or Personal,OCC,57129
Dearborn FSB,MI,2025-01-16,Formal Agreement,OCC,21761
Eastern National Bank,FL,2025-04-24,Cease-and-Desist Order (C&D) or Personal,OCC,20026
First Federal Savings Bank of Kentucky,KY,2024-08-13,Formal Agreement,OCC,29937
First FS & LA of Lorain,OH,2024-02-29,Formal Agreement,OCC,6600
First National Bank,MN,2023-06-27,Formal Agreement,OCC,10159
First National Bank & Trust Company,IL,2025-07-16,Formal Agreement,OCC,3639
First National Bank of Lake Jackson,TX,2024-09-17,Formal Agreement,OCC,18895
First National Bank of Pasco,FL,2025-09-18,Formal Agreement,OCC,26829
"Heritage Bank, National Association",MN,2024-04-02,Cease-and-Desist Order (C&D) or Personal,OCC,19254
"Heritage Bank, National Association",MN,2023-10-27,Formal Agreement,OCC,19254
"Heritage Bank, National Association",MN,2022-10-12,Cease-and-Desist Order (C&D) or Personal,OCC,19254
Hiawatha National Bank,WI,2024-10-22,Formal Agreement,OCC,13058
"JPMorgan Chase Bank, National Association",OH,2024-03-14,Cease-and-Desist Order (C&D) or Personal,OCC,628
Kentland FS & LA,IN,2023-04-10,Cease-and-Desist Order (C&D) or Personal,OCC,13843
Lake Shore Savings Bank,NY,2023-02-09,Cease-and-Desist Order (C&D) or Personal,OCC,30530
Lake Shore Savings Bank,NY,2022-07-13,Formal Agreement,OCC,30530
Lincoln FSB of Nebraska,NE,2024-06-20,Formal Agreement,OCC,29692
"Maple City Savings Bank, FSB",NY,2024-07-23,Formal Agreement,OCC,28585
"Midstates Bank, National Association",IA,2024-10-29,Cease-and-Desist Order (C&D) or Personal,OCC,4465
"Midstates Bank, National Association",IA,2023-12-20,Cease-and-Desist Order (C&D) or Personal,OCC,4465
Minnstar Bank National Association,MN,2024-03-12,Formal Agreement,OCC,13809
"Patriot Bank, National Association",CT,2025-01-14,Formal Agreement,OCC,33928
Quontic Bank,NY,2022-10-05,Cease-and-Desist Order (C&D) or Personal,OCC,57807
"Sterling Federal Bank, F.S.B.",IL,2025-05-22,Formal Agreement,OCC,27664
Summit National Bank,WY,2024-06-04,Cease-and-Desist Order (C&D) or Personal,OCC,25054
"TD Bank USA, National Association",DE,2024-10-09,Cease-and-Desist Order (C&D) or Personal,OCC,33947
"TD Bank, National Association",DE,2024-10-09,Cease-and-Desist Order (C&D) or Personal,OCC,18409
Texas Heritage National Bank,TX,2025-05-08,Formal Agreement,OCC,3161
The Fairfield National Bank,IL,2024-11-12,Formal Agreement,OCC,3792
The Federal Savings Bank,IL,2026-04-02,Cease-and-Desist Order (C&D) or Personal,OCC,35518
The First National Bank and Trust Company of Vinita,OK,2022-08-22,Cease-and-Desist Order (C&D) or Personal,OCC,13946
The First National Bank of Bellville,TX,2024-10-21,Cease-and-Desist Order (C&D) or Personal,OCC,3066
The First National Bank of Dennison,OH,2024-09-17,Formal Agreement,OCC,6574
The First National Bank of Shiner,TX,2024-10-21,Cease-and-Desist Order (C&D) or Personal,OCC,3066
The First National Bank of St. Ignace,MI,2024-01-19,Formal Agreement,OCC,5074
The First National Bank of Waverly,OH,2024-09-25,Formal Agreement,OCC,6725
The First National Bank of Williamson,WV,2024-11-12,Formal Agreement,OCC,6805
The Idabel National Bank,OK,2022-12-16,Formal Agreement,OCC,4241
The National Iron Bank,CT,2023-07-11,Formal Agreement,OCC,2496
The Upstate National Bank,NY,2023-11-16,Cease-and-Desist Order (C&D) or Personal,OCC,13748
Touchmark National Bank,GA,2024-04-17,Formal Agreement,OCC,58687
"United Fidelity Bank, F.S.B.",IN,2023-10-31,Cease-and-Desist Order (C&D) or Personal,OCC,29566
"United Texas Bank, National Association",TX,2026-06-16,Cease-and-Desist Order (C&D) or Personal,OCC,26626
Unity National Bank of Houston,TX,2022-08-30,Formal Agreement,OCC,26351
USAA Federal Savings Bank,AZ,2024-12-18,Cease-and-Desist Order (C&D) or Personal,OCC,32188
"Vast Bank, National Association",OK,2023-10-23,Cease-and-Desist Order (C&D) or Personal,OCC,23737
Washington Federal Bank For Savings,IL,2022-09-01,Cease-and-Desist Order (C&D) or Personal,OCC,29227
Washington Federal Bank For Savings,IL,2022-09-09,Cease-and-Desist Order (C&D) or Personal,OCC,29227
Washington Federal Bank For Savings,IL,2022-08-26,Cease-and-Desist Order (C&D) or Personal,OCC,29227
Washington Federal Bank For Savings,IL,2022-09-09,Cease-and-Desist Order (C&D) or Personal,OCC,29227
Washington Federal Bank For Savings,IL,2022-09-12,Cease-and-Desist Order (C&D) or Personal,OCC,29227
"Wells Fargo Bank, National Association",SD,2024-09-12,Formal Agreement,OCC,3511
"Wells Fargo Bank, National Association",SD,2025-04-25,Cease-and-Desist Order (C&D) or Personal,OCC,3511
"Wells Fargo Bank, National Association",SD,2025-01-14,Cease-and-Desist Order (C&D) or Personal,OCC,3511
"Wells Fargo Bank, National Association",SD,2025-04-25,Cease-and-Desist Order (C&D) or Personal,OCC,3511
"Wells Fargo Bank, National Association",SD,2025-01-14,Cease-and-Desist Order (C&D) or Personal,OCC,3511
"Wells Fargo Bank, National Association",SD,2025-10-22,Cease-and-Desist Order (C&D) or Personal,OCC,3511
